Region,Zone,Woreda,Kebele
Tigray,North Western Tigray,Tahitay Adiyabo,Adi Hageray Town
Tigray,North Western Tigray,Tahitay Adiyabo,Badme
Tigray,North Western Tigray,Tahitay Adiyabo,Adiawuala
Tigray,North Western Tigray,Tahitay Adiyabo,Geladiyus
Tigray,North Western Tigray,Tahitay Adiyabo,Aditelaom
Tigray,North Western Tigray,Tahitay Adiyabo,Daguala
Tigray,North Western Tigray,Tahitay Adiyabo,Adihegeray
Tigray,North Western Tigray,Tahitay Adiyabo,Shemblina
Tigray,North Western Tigray,Tahitay Adiyabo,Gemhelo
Tigray,North Western Tigray,Tahitay Adiyabo,Lemlem
Tigray,North Western Tigray,Tahitay Adiyabo,Ademeyti
Tigray,North Western Tigray,Tahitay Adiyabo,Aditeter
Tigray,North Western Tigray,Tahitay Adiyabo,Adiaser
Tigray,North Western Tigray,Tahitay Adiyabo,Mentebteb
Tigray,North Western Tigray,Tahitay Adiyabo,Markuhili
Tigray,North Western Tigray,Tahitay Adiyabo,Aterega
Tigray,North Western Tigray,Tahitay Adiyabo,Zabangedena
Tigray,North Western Tigray,Tahitay Adiyabo,Lesemuguna Andi
Tigray,North Western Tigray,Laelay Adiabo,Adi Daero Town
Tigray,North Western Tigray,Laelay Adiabo,Dogale
Tigray,North Western Tigray,Laelay Adiabo,Adikelite
Tigray,North Western Tigray,Laelay Adiabo,Medere Felasi
Tigray,North Western Tigray,Laelay Adiabo,Adinebereid
Tigray,North Western Tigray,Laelay Adiabo,Godfeye
Tigray,North Western Tigray,Laelay Adiabo,Fethi
Tigray,North Western Tigray,Laelay Adiabo,Hebret
Tigray,North Western Tigray,Laelay Adiabo,Adi Gedena
Tigray,North Western Tigray,Laelay Adiabo,Egub
Tigray,North Western Tigray,Laelay Adiabo,Medebay Terer
Tigray,North Western Tigray,Laelay Adiabo,Adi Miliyen
Tigray,North Western Tigray,Laelay Adiabo,Hadegeta
Tigray,North Western Tigray,Laelay Adiabo,May Anbesa
Tigray,North Western Tigray,Laelay Adiabo,Adi Abagi
Tigray,North Western Tigray,Laelay Adiabo,Stada Bora
Tigray,North Western Tigray,Laelay Adiabo,Adi Negesti
Tigray,North Western Tigray,Laelay Adiabo,Guba Goba
Tigray,North Western Tigray,Laelay Adiabo,Stahayu
Tigray,North Western Tigray,Laelay Adiabo,Zelazele
Tigray,North Western Tigray,Laelay Adiabo,Semeret
Tigray,North Western Tigray,Medebay Zana,Selekileha Town
Tigray,North Western Tigray,Medebay Zana,Zana Town
Tigray,North Western Tigray,Medebay Zana,Nefasit
Tigray,North Western Tigray,Medebay Zana,Shame
Tigray,North Western Tigray,Medebay Zana,Tseada Leha
Tigray,North Western Tigray,Medebay Zana,Adi Beareji
Tigray,North Western Tigray,Medebay Zana,Adi Ngisti
Tigray,North Western Tigray,Medebay Zana,Kul Ferha
Tigray,North Western Tigray,Medebay Zana,Emba Tsehidi
Tigray,North Western Tigray,Medebay Zana,Mesihil
Tigray,North Western Tigray,Medebay Zana,Ade Kemalhi
Tigray,North Western Tigray,Medebay Zana,Kemalo
Tigray,North Western Tigray,Medebay Zana,Adi Geshei
Tigray,North Western Tigray,Medebay Zana,Bahira
Tigray,North Western Tigray,Medebay Zana,walka
Tigray,North Western Tigray,Medebay Zana,Debre Kerbe
Tigray,North Western Tigray,Medebay Zana,Kibrto
Tigray,North Western Tigray,Medebay Zana,Thula
Tigray,North Western Tigray,Medebay Zana,Adi Tsegora
Tigray,North Western Tigray,Medebay Zana,Mintil
Tigray,North Western Tigray,Asegede Tsimbila,Endaba Guna Town
Tigray,North Western Tigray,Asegede Tsimbila,DIGWADAGUGN
Tigray,North Western Tigray,Asegede Tsimbila,HITSATS
Tigray,North Western Tigray,Asegede Tsimbila,HIBIRET
Tigray,North Western Tigray,Asegede Tsimbila,MAY SEYE
Tigray,North Western Tigray,Asegede Tsimbila,MAY FERES
Tigray,North Western Tigray,Asegede Tsimbila,MAY SEWIHI
Tigray,North Western Tigray,Asegede Tsimbila,MAY SHEK
Tigray,North Western Tigray,Asegede Tsimbila,ALOGEN
Tigray,North Western Tigray,Asegede Tsimbila,LEMILEM
Tigray,North Western Tigray,Asegede Tsimbila,BIRIHAN
Tigray,North Western Tigray,Asegede Tsimbila,BONA KODA
Tigray,North Western Tigray,Asegede Tsimbila,HINITSET
Tigray,North Western Tigray,Asegede Tsimbila,MIZAN
Tigray,North Western Tigray,Asegede Tsimbila,DEBIR ABAY
Tigray,North Western Tigray,Asegede Tsimbila,ZENIGORAKODA
Tigray,North Western Tigray,Asegede Tsimbila,DEBIR MARIYAM
Tigray,North Western Tigray,Asegede Tsimbila,LIMIAT
Tigray,North Western Tigray,Asegede Tsimbila,ADI MEHAMEDAY
Tigray,North Western Tigray,Asegede Tsimbila,DEDEBIT
Tigray,North Western Tigray,Tselemt,May Tsebri Town
Tigray,North Western Tigray,Tselemt,May Tehilit
Tigray,North Western Tigray,Tselemt,Stada Kerni
Tigray,North Western Tigray,Tselemt,Mezker
